from_iso3,to_iso3,existing_mw,planned_mw,multiplier,delta_mw,ren_op_src_mw,ren_pipe_src_mw,curtail_risk,unlock_potential,pipe_per_line_mw,lever_score_GW
ROU,SRB,680.0,2310.0,3.392070484581498,1630.0,15391.0,10723.6,22.600587371512482,11.300129813933362,4.640242319342276,0.024485425627063243
AUT,DEU,1400.0,7800.0,5.56745182012848,6400.0,16863.4,3312.6,12.036688079942898,2.5863350852454814,0.4246378669401359,0.02301235122968876
DEU,DNK,3700.0,1000.0,0.27019724398811135,-2700.0,95806.7,28117.2,25.886706295595783,123.8000999000999,28.08911088911089,0.02274107813696224
BGR,SRB,320.0,1220.0,3.8006230529595015,900.0,6798.0,4964.0,21.177570093457945,9.633087633087634,4.065520065520065,0.022026490244880223
FRA,ITA,2900.0,1200.0,0.4136504653567735,-1700.0,60080.3,27295.7,20.71020337814547,72.7527060782681,22.727477102414657,0.02182427710856095
GRC,ITA,500.0,500.0,0.998003992015968,0.0,14625.8,104554.9,29.19321357285429,237.88562874251497,208.69241516966068,0.021183813769985235
GEO,TUR,150.0,1050.0,6.953642384105961,900.0,3008.6,2699.8,19.924503311258277,5.4313986679353,2.5687916270218842,0.021157199023994502
GRC,TUR,660.0,600.0,0.9077155824508321,-60.0,14625.8,104554.9,22.1267776096823,198.30399334442595,173.96821963394342,0.020097930062142996
AUT,SVN,950.0,500.0,0.5257623554153522,-450.0,16863.4,3312.6,17.732281808622503,40.271457085828345,6.611976047904191,0.018216199679813683
GRC,MKD,1100.0,500.0,0.45413260672116257,-600.0,14625.8,104554.9,13.284105358764759,237.88562874251497,208.69241516966068,0.016530871985981313
MLT,TUN,0.0,250.0,250.0,250.0,18.7,300.0,18.7,1.2697211155378485,1.1952191235059761,0.016469268001302335
BEL,GBR,1000.0,2800.0,2.797202797202797,1800.0,6179.1,4329.8,6.172927072927073,3.75183862906105,1.5458050696179937,0.015639822538511244
BGR,GRC,770.0,930.0,1.206225680933852,160.0,6798.0,4964.0,8.817120622568094,12.633727175080558,5.331901181525241,0.015614890299019536
BIH,SRB,530.0,3660.0,6.892655367231638,3130.0,2939.5,5708.0,5.53578154425612,2.3620595465719747,1.5591368478557772,0.015404103216021866
BGR,TUR,900.0,1100.0,1.2208657047724751,200.0,6798.0,4964.0,7.544950055493896,10.683015440508628,4.5086285195277025,0.015025909178039098
BEL,LUX,680.0,500.0,0.7342143906020558,-180.0,6179.1,4329.8,9.073568281938327,20.975848303393217,8.642315369261478,0.014359831630536616
BGR,ROU,900.0,600.0,0.6659267480577137,-300.0,6798.0,4964.0,7.544950055493896,19.57071547420965,8.259567387687188,0.01372716467487919
BEL,DEU,1000.0,1000.0,0.999000999000999,0.0,6179.1,4329.8,6.172927072927073,10.4984015984016,4.325474525474526,0.013612414953016065
FIN,SWE,2400.0,2100.0,0.8746355685131195,-300.0,11322.8,48100.4,4.715868388171595,28.283293669681104,22.894050452165637,0.013336127782109714
HRV,SRB,500.0,600.0,1.1976047904191616,100.0,3199.6,4095.8,6.386427145708582,12.138768718801996,6.8149750415973385,0.012794912907069397
